jlptLevel,japanese,reading,meaning,partOfSpeech,exampleSentence
N5,会う,あう,만나다,word,-
N5,赤い,あかい,"빨갛다, 붉다",word,-
N5,朝,あさ,아침,word,-
N5,後,あと,"뒤, 나중",word,-
N5,言う,いう,말하다,word,-
N5,上,うえ,위,word,-
N5,生まれる,うまれる,태어나다,word,-
N5,駅,えき,역,word,-
N5,大きい,おおきい,크다,word,-
N5,お金,かね,돈,word,-
N5,外国,がいこく,외국,word,-
N5,買う,かう,사다,word,-
N5,学校,がっこう,학교,word,-
N5,火よう日,かび,화요일,word,-
N5,聞く,きく,듣다,word,-
N5,銀行,ぎんこう,은행,word,-
N5,金よう日,きんび,금요일,word,-
N5,国,くに,나라,word,-
N5,車,くるま,자동차,word,-
N5,午後,ごご,오후,word,-
N5,今月,こんげつ,이번 달,word,-
N5,魚,さかな,"생선, 물고기",word,-
N5,四月,しがつ,4 월,word,-
N5,下,した,"아래, 밑",word,-
N5,七月,しちがつ,7 월,word,-
N5,七時,しちじ,7 시,word,-
N5,白い,しろい,"희다, 하얗다",word,-
N5,千円,せんえん,1000 엔,word,-
N5,先生,せんせい,선생님,word,-
N5,外,そと,밖,word,-
N5,空,そら,하늘,word,-
N5,大学,だいがく,대학,word,-
N5,高い,たかい,"키가 크다, 값이 비싸다, 높다",word,-
N5,出す,だす,"내다, 제출하다",word,-
N5,食べる,たべる,먹다,word,-
N5,小さい,ちいさい,크기가 작다,word,-
N5,手,て,손,word,-
N5,出る,でる,나가오다,word,-
N5,電話,でんわ,전화,word,-
N5,十日,とおか,일,word,-
N5,友だち,ともだち,친구,word,-
N5,土よう日,どび,토요일,word,-
N5,中,なか,"안, 속",word,-
N5,長い,ながい,길다,word,-
N5,何人,なんにん,몇 명,word,-
N5,飲む,のむ,"마시다, 삼키다",word,-
N5,入る,はいる,들어가오다,word,-
N5,花,はな,꽃,word,-
N5,人,ひと,사람,word,-
N5,古い,ふるい,"오래되다, 낡다",word,-
N5,本,ほん,책,word,-
N5,毎日,まいにち,매일,word,-
N5,前,まえ,앞,word,-
N5,右,みぎ,오른쪽,word,-
N5,水,みず,물,word,-
N5,店,みせ,가게,word,-
N5,見せる,みせる,"보이다, 보여 주다",word,-
N5,道,みち,길,word,-
N5,見る,みる,보다,word,-
N5,木よう日,もくび,목요일,word,-
N5,安い,やすい,값이 싸다,word,-
N5,休む,やすむ,쉬다,word,-
N5,山,やま,산,word,-
N5,有名,ゆうめい,유명함,word,-
N5,読む,よむ,읽다,word,-
N5,来週,らいしゅう,다음 주,word,-
N5,新しい,あたらしい,새롭다,word,-
N5,行く,いく,가다,word,-
N5,多い,おおい,많다,word,-
N5,会社,かいしゃ,회사,word,-
N5,書く,かく,"쓰다, 적다",word,-
N5,カメラ,カメラ,카메라,word,-
N5,来る,くる,오다,word,-
N5,子ども,こども,"아이, 어린이",word,-
N5,今週,こんしゅう,이번 주,word,-
N5,時間,じかん,시간,word,-
N5,タクシー,タクシー,택시,word,-
N5,電車,でんしゃ,전철,word,-
N5,名前,なまえ,이름,word,-
N5,六日,むいか,일,word,-
N5,レストラン,レストラン,레스토랑,word,-
N5,あした,あした,내일,word,-
N5,あそぶ,あそぶ,놀다,word,-
N5,あたたかい,あたたかい,따뜻하다,word,-
N5,アパート,アパート,아파트,word,-
N5,あまい,あまい,달다,word,-
N5,あらう,あらう,씻다,word,-
N5,おりる,おりる,내리다,word,-
N5,かう,かう,"사다, 구입하다",word,-
N5,かぶる,かぶる,모자를 쓰다,word,-
N5,きたない,きたない,"더럽다, 지저분하다",word,-
N5,きっぷ,きっぷ,"표, 티켓",word,-
N5,きる,きる,자르다,word,-
N5,こうえん,こうえん,공원,word,-
N5,こうちゃ,こうちゃ,홍차,word,-
N5,ごちそうさま,ごちそうさま,잘 먹었습니다,word,-
N5,こちらこそ,こちらこそ,저야말로,word,-
N5,しつもんする,しつもんする,질문하다,word,-
N5,しめる,しめる,문을 닫다,word,-
N5,しゃしん,しゃしん,사진,word,-
